Student_Name,Semester,Attendance,Assignment,Tutorial,Incourse,Final,GPA,Total_Marks,Risk_Status
Tashin Tuhin,3rd Year - Sem 2,11,1,3,18,7,0.0,29,High Risk
Nadia Islam,4th Year - Sem 2,17,8,12,20,36,2.75,76,Medium Risk
Ahad Ali,3rd Year - Sem 2,12,7,14,24,35,3.0,80,Safe
Rakib Hasan,1st Year - Sem 2,23,10,19,35,60,4.0,124,Safe
Rakib Hasan,3rd Year - Sem 2,14,8,14,29,32,3.0,83,Safe
Karim Uddin,4th Year - Sem 1,15,8,11,22,37,3.0,78,Safe
Shibay Yadav,3rd Year - Sem 2,12,1,4,11,19,0.0,35,High Risk
Tashin Tuhin,4th Year - Sem 2,16,5,11,27,32,2.75,75,Medium Risk
Shibay Yadav,4th Year - Sem 1,20,8,20,31,46,4.0,105,Safe
Shibay Yadav,3rd Year - Sem 1,19,8,15,28,31,3.0,82,Safe
Tashin Tuhin,2nd Year - Sem 1,20,8,16,32,46,3.75,102,Safe
Karim Uddin,1st Year - Sem 2,21,8,16,38,55,4.0,117,Safe
Nadia Islam,4th Year - Sem 2,24,9,15,37,49,4.0,110,Safe
Nadia Islam,2nd Year - Sem 1,22,10,17,32,55,4.0,114,Safe
Nadia Islam,2nd Year - Sem 2,20,6,11,28,30,2.75,75,Medium Risk
Tashin Tuhin,2nd Year - Sem 1,10,2,2,8,25,0.0,37,High Risk
Rakib Hasan,1st Year - Sem 1,23,10,18,37,48,4.0,113,Safe
Shibay Yadav,1st Year - Sem 1,13,6,15,25,42,3.25,88,Safe
Shibay Yadav,1st Year - Sem 1,24,9,16,37,51,4.0,113,Safe
Rakib Hasan,1st Year - Sem 1,15,8,10,27,32,2.75,77,Medium Risk
Nadia Islam,2nd Year - Sem 1,20,10,18,36,51,4.0,115,Safe
Nadia Islam,1st Year - Sem 1,9,1,5,19,21,0.0,46,High Risk
Rakib Hasan,1st Year - Sem 1,12,7,13,27,33,3.0,80,Safe
Rakib Hasan,3rd Year - Sem 2,19,5,11,25,36,2.75,77,Medium Risk
Shibay Yadav,1st Year - Sem 1,2,1,5,17,20,0.0,43,High Risk
Shibay Yadav,1st Year - Sem 2,14,8,13,24,45,3.25,90,Safe
Karim Uddin,4th Year - Sem 1,22,10,19,33,55,4.0,117,Safe
Ahad Ali,2nd Year - Sem 1,17,7,14,23,37,3.0,81,Safe
Tashin Tuhin,2nd Year - Sem 2,14,6,13,27,31,2.75,77,Medium Risk
Nadia Islam,1st Year - Sem 1,14,7,13,20,44,3.0,84,Safe
Rakib Hasan,4th Year - Sem 2,1,1,4,2,1,0.0,8,High Risk
Shibay Yadav,3rd Year - Sem 2,21,10,16,31,47,4.0,104,Safe
Karim Uddin,4th Year - Sem 2,21,9,16,37,60,4.0,122,Safe
Tashin Tuhin,2nd Year - Sem 2,20,10,18,38,46,4.0,112,Safe
Nadia Islam,1st Year - Sem 1,11,2,1,5,1,0.0,9,High Risk
Rakib Hasan,1st Year - Sem 2,21,9,20,33,52,4.0,114,Safe
Karim Uddin,2nd Year - Sem 2,10,0,1,2,2,0.0,5,High Risk
Rakib Hasan,2nd Year - Sem 1,21,10,18,34,52,4.0,114,Safe
Karim Uddin,2nd Year - Sem 1,23,8,17,38,50,4.0,113,Safe
Tashin Tuhin,1st Year - Sem 2,24,9,15,35,50,4.0,109,Safe
Tashin Tuhin,4th Year - Sem 1,20,5,11,21,44,3.0,81,Safe
Shibay Yadav,4th Year - Sem 2,17,8,13,28,34,3.0,83,Safe
Tashin Tuhin,3rd Year - Sem 2,21,8,17,30,54,4.0,109,Safe
Ahad Ali,4th Year - Sem 2,20,8,19,35,56,4.0,118,Safe
Karim Uddin,1st Year - Sem 1,7,5,5,9,8,0.0,27,High Risk
Karim Uddin,1st Year - Sem 1,16,6,12,30,38,3.25,86,Safe
Tashin Tuhin,2nd Year - Sem 2,23,10,18,34,60,4.0,122,Safe
Tashin Tuhin,2nd Year - Sem 2,14,6,15,26,42,3.25,89,Safe
Karim Uddin,2nd Year - Sem 1,20,8,18,38,51,4.0,115,Safe
Nadia Islam,1st Year - Sem 2,10,4,0,5,15,0.0,24,High Risk
Nadia Islam,2nd Year - Sem 1,23,10,18,36,56,4.0,120,Safe
Ahad Ali,1st Year - Sem 2,23,8,16,37,56,4.0,117,Safe
Nadia Islam,2nd Year - Sem 1,24,9,16,38,54,4.0,117,Safe
Rakib Hasan,4th Year - Sem 2,12,0,1,6,13,0.0,20,High Risk
Tashin Tuhin,3rd Year - Sem 2,0,2,0,7,17,0.0,26,High Risk
Shibay Yadav,2nd Year - Sem 1,20,8,10,27,39,3.0,84,Safe
Ahad Ali,3rd Year - Sem 2,15,6,13,22,41,3.0,82,Safe
Rakib Hasan,2nd Year - Sem 2,16,7,11,22,37,2.75,77,Medium Risk
Shibay Yadav,4th Year - Sem 1,23,8,17,37,53,4.0,115,Safe
Nadia Islam,1st Year - Sem 1,3,4,2,20,21,0.0,47,High Risk
Shibay Yadav,4th Year - Sem 1,23,9,16,30,45,3.75,100,Safe
Ahad Ali,1st Year - Sem 1,17,7,13,23,31,2.75,74,Medium Risk
Karim Uddin,1st Year - Sem 2,20,8,14,29,42,3.5,93,Safe
Karim Uddin,4th Year - Sem 1,14,8,15,22,40,3.25,85,Safe
Shibay Yadav,2nd Year - Sem 2,19,5,11,23,36,2.75,75,Medium Risk
Nadia Islam,3rd Year - Sem 1,12,8,12,25,43,3.25,88,Safe
Shibay Yadav,4th Year - Sem 2,12,4,5,11,7,0.0,27,High Risk
Shibay Yadav,4th Year - Sem 2,12,8,11,23,42,3.0,84,Safe
Shibay Yadav,4th Year - Sem 1,21,9,18,30,50,4.0,107,Safe
Ahad Ali,3rd Year - Sem 1,15,6,10,25,34,2.75,75,Medium Risk
Shibay Yadav,3rd Year - Sem 1,20,10,16,35,45,4.0,106,Safe
Ahad Ali,3rd Year - Sem 2,16,5,10,21,45,3.0,81,Safe
Nadia Islam,3rd Year - Sem 1,22,8,20,32,55,4.0,115,Safe
Karim Uddin,4th Year - Sem 2,20,8,12,29,38,3.25,87,Safe
Rakib Hasan,3rd Year - Sem 1,5,5,4,7,16,0.0,32,High Risk
Nadia Islam,3rd Year - Sem 2,18,8,11,22,31,2.75,72,Medium Risk
Ahad Ali,2nd Year - Sem 2,23,8,15,38,50,4.0,111,Safe
Ahad Ali,1st Year - Sem 1,2,4,6,6,0,0.0,16,High Risk
Nadia Islam,2nd Year - Sem 2,19,8,14,30,44,3.5,96,Safe
Karim Uddin,4th Year - Sem 2,13,6,11,30,41,3.25,88,Safe
Karim Uddin,4th Year - Sem 2,20,9,15,38,58,4.0,120,Safe
Shibay Yadav,2nd Year - Sem 1,3,3,8,2,20,0.0,33,High Risk
Tashin Tuhin,3rd Year - Sem 2,1,5,8,6,16,0.0,35,High Risk
Karim Uddin,4th Year - Sem 2,21,10,17,40,51,4.0,118,Safe
Ahad Ali,4th Year - Sem 2,12,5,5,1,8,0.0,19,High Risk
Nadia Islam,1st Year - Sem 1,21,9,18,38,51,4.0,116,Safe
Karim Uddin,1st Year - Sem 2,23,9,15,30,59,4.0,113,Safe
Shibay Yadav,2nd Year - Sem 1,12,4,6,5,10,0.0,25,High Risk
Karim Uddin,1st Year - Sem 1,13,8,13,23,44,3.25,88,Safe
Karim Uddin,1st Year - Sem 2,1,1,7,5,26,0.0,39,High Risk
Karim Uddin,4th Year - Sem 2,24,9,20,40,48,4.0,117,Safe
Nadia Islam,2nd Year - Sem 2,21,9,17,36,54,4.0,116,Safe
Shibay Yadav,3rd Year - Sem 2,14,5,13,29,41,3.25,88,Safe
Tashin Tuhin,3rd Year - Sem 2,12,8,12,30,32,3.0,82,Safe
Ahad Ali,3rd Year - Sem 1,17,8,13,21,40,3.0,82,Safe
Nadia Islam,3rd Year - Sem 2,12,6,10,24,34,2.75,74,Medium Risk
Shibay Yadav,2nd Year - Sem 2,4,3,4,4,24,0.0,35,High Risk
Karim Uddin,2nd Year - Sem 1,21,8,17,32,53,4.0,110,Safe
Tashin Tuhin,4th Year - Sem 1,9,2,6,2,10,0.0,20,High Risk
Nadia Islam,2nd Year - Sem 2,18,7,13,25,39,3.0,84,Safe
Rakib Hasan,1st Year - Sem 2,21,10,19,32,60,4.0,121,Safe
Karim Uddin,2nd Year - Sem 2,22,9,16,37,51,4.0,113,Safe
Nadia Islam,4th Year - Sem 1,17,6,10,26,41,3.0,83,Safe
Ahad Ali,2nd Year - Sem 1,20,6,10,20,32,2.5,68,Medium Risk
Rakib Hasan,3rd Year - Sem 2,11,0,2,10,30,0.0,42,High Risk
Rakib Hasan,4th Year - Sem 2,21,10,18,31,51,4.0,110,Safe
Nadia Islam,4th Year - Sem 1,20,9,19,30,45,3.75,103,Safe
Tashin Tuhin,3rd Year - Sem 2,18,8,11,20,34,2.75,73,Medium Risk
Karim Uddin,3rd Year - Sem 2,3,2,2,8,3,0.0,15,High Risk
Tashin Tuhin,1st Year - Sem 2,22,10,17,30,47,4.0,104,Safe
Tashin Tuhin,2nd Year - Sem 1,19,8,14,26,42,3.25,90,Safe
Karim Uddin,2nd Year - Sem 1,16,5,11,27,34,2.75,77,Medium Risk
Rakib Hasan,2nd Year - Sem 2,21,8,15,37,54,4.0,114,Safe
Nadia Islam,3rd Year - Sem 2,16,6,15,25,43,3.25,89,Safe
Ahad Ali,4th Year - Sem 1,7,4,10,11,30,2.0,55,High Risk
Karim Uddin,2nd Year - Sem 2,13,8,11,20,32,2.5,71,Medium Risk
Karim Uddin,4th Year - Sem 2,23,10,16,33,47,4.0,106,Safe
Ahad Ali,2nd Year - Sem 1,24,8,17,39,47,4.0,111,Safe
Rakib Hasan,2nd Year - Sem 1,20,8,18,34,55,4.0,115,Safe
Ahad Ali,2nd Year - Sem 1,21,9,17,33,46,4.0,105,Safe
Nadia Islam,3rd Year - Sem 2,7,1,3,18,5,0.0,27,High Risk
Rakib Hasan,3rd Year - Sem 1,18,5,12,25,44,3.25,86,Safe
Rakib Hasan,4th Year - Sem 2,13,5,11,29,35,3.0,80,Safe
Karim Uddin,1st Year - Sem 1,20,10,19,39,52,4.0,120,Safe
Ahad Ali,4th Year - Sem 1,18,6,13,25,39,3.0,83,Safe
Tashin Tuhin,3rd Year - Sem 1,20,8,17,39,55,4.0,119,Safe
Ahad Ali,1st Year - Sem 1,11,4,4,0,7,0.0,15,High Risk
Nadia Islam,2nd Year - Sem 1,7,1,5,7,22,0.0,35,High Risk
Rakib Hasan,1st Year - Sem 1,23,9,15,38,60,4.0,122,Safe
Karim Uddin,2nd Year - Sem 2,14,6,10,21,45,3.0,82,Safe
Nadia Islam,2nd Year - Sem 1,23,10,19,36,48,4.0,113,Safe
Karim Uddin,3rd Year - Sem 2,12,8,15,29,34,3.25,86,Safe
Ahad Ali,1st Year - Sem 1,24,10,19,39,50,4.0,118,Safe
Karim Uddin,2nd Year - Sem 1,12,7,12,22,30,2.5,71,Medium Risk
Shibay Yadav,4th Year - Sem 2,18,6,15,24,39,3.0,84,Safe
Ahad Ali,1st Year - Sem 2,20,10,16,31,50,4.0,107,Safe
Rakib Hasan,3rd Year - Sem 1,20,9,19,38,48,4.0,114,Safe
Tashin Tuhin,1st Year - Sem 2,24,9,19,32,54,4.0,114,Safe
Rakib Hasan,4th Year - Sem 1,14,6,11,23,39,3.0,79,Safe
Rakib Hasan,1st Year - Sem 1,22,10,18,37,47,4.0,112,Safe
Rakib Hasan,1st Year - Sem 1,20,6,14,29,40,3.25,89,Safe
Shibay Yadav,4th Year - Sem 2,24,8,19,30,48,4.0,105,Safe
Karim Uddin,4th Year - Sem 2,5,5,1,15,2,0.0,23,High Risk
Nadia Islam,2nd Year - Sem 2,20,8,20,34,55,4.0,117,Safe
Nadia Islam,4th Year - Sem 2,2,3,4,14,26,0.0,47,High Risk
Ahad Ali,3rd Year - Sem 2,12,5,11,21,41,3.0,78,Safe
Nadia Islam,2nd Year - Sem 2,20,9,16,39,53,4.0,117,Safe
Karim Uddin,2nd Year - Sem 2,14,5,13,21,32,2.5,71,Medium Risk
Rakib Hasan,1st Year - Sem 1,15,5,14,21,31,2.5,71,Medium Risk
Shibay Yadav,1st Year - Sem 1,24,9,20,37,50,4.0,116,Safe
Shibay Yadav,3rd Year - Sem 1,19,6,12,27,31,2.75,76,Medium Risk
Ahad Ali,1st Year - Sem 2,23,10,16,31,52,4.0,109,Safe
Ahad Ali,3rd Year - Sem 2,4,5,5,17,27,2.0,54,High Risk
Shibay Yadav,1st Year - Sem 2,12,8,14,23,30,2.75,75,Medium Risk
Nadia Islam,2nd Year - Sem 2,12,0,3,9,2,0.0,14,High Risk
Rakib Hasan,2nd Year - Sem 1,22,10,17,33,49,4.0,109,Safe
Karim Uddin,1st Year - Sem 2,20,7,14,27,43,3.5,91,Safe
Karim Uddin,3rd Year - Sem 1,3,5,0,4,12,0.0,21,High Risk
Karim Uddin,2nd Year - Sem 2,18,8,11,20,30,2.5,69,Medium Risk
Tashin Tuhin,4th Year - Sem 2,20,8,18,33,46,4.0,105,Safe
Karim Uddin,4th Year - Sem 1,16,7,14,29,40,3.25,90,Safe
Karim Uddin,3rd Year - Sem 2,22,9,20,34,60,4.0,123,Safe
Rakib Hasan,2nd Year - Sem 2,22,9,16,36,59,4.0,120,Safe
Rakib Hasan,1st Year - Sem 2,19,8,12,27,33,3.0,80,Safe
Karim Uddin,3rd Year - Sem 1,20,8,17,37,56,4.0,118,Safe
Shibay Yadav,4th Year - Sem 1,23,10,16,37,54,4.0,117,Safe
Tashin Tuhin,3rd Year - Sem 1,17,6,10,28,41,3.25,85,Safe
Rakib Hasan,1st Year - Sem 2,19,5,10,23,36,2.75,74,Medium Risk
Ahad Ali,4th Year - Sem 1,17,8,11,29,45,3.5,93,Safe
Rakib Hasan,1st Year - Sem 2,20,9,19,40,49,4.0,117,Safe
Karim Uddin,1st Year - Sem 2,2,5,5,7,28,0.0,45,High Risk
Rakib Hasan,3rd Year - Sem 2,18,5,12,20,33,2.5,70,Medium Risk
Ahad Ali,4th Year - Sem 1,20,9,19,35,57,4.0,120,Safe
Karim Uddin,1st Year - Sem 2,22,8,15,40,46,4.0,109,Safe
Shibay Yadav,2nd Year - Sem 2,10,5,1,17,28,0.0,51,High Risk
Rakib Hasan,2nd Year - Sem 1,16,5,11,21,33,2.5,70,Medium Risk
Rakib Hasan,2nd Year - Sem 1,22,9,19,35,54,4.0,117,Safe
Rakib Hasan,1st Year - Sem 2,19,5,13,21,33,2.75,72,Medium Risk
Ahad Ali,2nd Year - Sem 1,21,9,16,39,55,4.0,119,Safe
Karim Uddin,1st Year - Sem 1,22,10,16,35,57,4.0,118,Safe
Nadia Islam,4th Year - Sem 2,16,5,15,28,37,3.25,85,Safe
Shibay Yadav,1st Year - Sem 1,23,10,19,38,60,4.0,127,Safe
Karim Uddin,4th Year - Sem 1,16,8,15,21,35,3.0,79,Safe
Rakib Hasan,4th Year - Sem 2,24,10,18,30,58,4.0,116,Safe
Nadia Islam,1st Year - Sem 2,8,4,2,18,14,0.0,38,High Risk
Shibay Yadav,3rd Year - Sem 2,14,8,11,27,40,3.25,86,Safe
Ahad Ali,4th Year - Sem 2,22,9,16,34,54,4.0,113,Safe
Shibay Yadav,4th Year - Sem 1,23,8,19,40,59,4.0,126,Safe
Tashin Tuhin,3rd Year - Sem 2,19,7,12,24,45,3.25,88,Safe
Karim Uddin,4th Year - Sem 1,16,8,13,25,33,3.0,79,Safe
Shibay Yadav,4th Year - Sem 1,6,0,9,15,15,0.0,39,High Risk
Karim Uddin,4th Year - Sem 1,2,4,4,11,28,0.0,47,High Risk
Shibay Yadav,1st Year - Sem 1,20,10,20,37,56,4.0,123,Safe
Rakib Hasan,2nd Year - Sem 1,15,8,15,26,31,3.0,80,Safe
Shibay Yadav,4th Year - Sem 1,12,5,13,28,34,3.0,80,Safe
Tashin Tuhin,1st Year - Sem 1,18,8,10,21,30,2.5,69,Medium Risk
Nadia Islam,3rd Year - Sem 2,20,8,17,39,53,4.0,117,Safe
Tashin Tuhin,2nd Year - Sem 1,12,6,10,22,36,2.75,74,Medium Risk
Tashin Tuhin,2nd Year - Sem 1,23,8,19,35,57,4.0,119,Safe
Nadia Islam,4th Year - Sem 1,12,7,14,24,32,2.75,77,Medium Risk
Rakib Hasan,2nd Year - Sem 2,8,3,2,13,14,0.0,32,High Risk
Tashin Tuhin,1st Year - Sem 2,16,5,11,22,44,3.0,82,Safe
Nadia Islam,2nd Year - Sem 2,16,6,13,25,33,2.75,77,Medium Risk
Ahad Ali,3rd Year - Sem 2,6,4,1,16,24,0.0,45,High Risk
Tashin Tuhin,3rd Year - Sem 1,13,6,11,28,44,3.25,89,Safe
Karim Uddin,1st Year - Sem 1,15,8,14,27,30,3.0,79,Safe
Nadia Islam,3rd Year - Sem 2,23,9,18,39,58,4.0,124,Safe
Nadia Islam,1st Year - Sem 1,16,5,12,24,30,2.5,71,Medium Risk
Shibay Yadav,2nd Year - Sem 1,11,1,1,1,6,0.0,9,High Risk
Ahad Ali,2nd Year - Sem 1,21,8,17,32,56,4.0,113,Safe
Rakib Hasan,4th Year - Sem 1,13,5,11,22,33,2.5,71,Medium Risk
Shibay Yadav,4th Year - Sem 2,3,2,6,4,25,0.0,37,High Risk
Nadia Islam,4th Year - Sem 1,24,8,20,37,52,4.0,117,Safe
Shibay Yadav,1st Year - Sem 1,20,6,11,20,34,2.5,71,Medium Risk
Rakib Hasan,3rd Year - Sem 2,22,9,19,40,51,4.0,119,Safe
Ahad Ali,1st Year - Sem 2,18,5,15,24,37,3.0,81,Safe
Ahad Ali,1st Year - Sem 2,6,2,3,0,26,0.0,31,High Risk
Tashin Tuhin,4th Year - Sem 1,21,8,17,30,48,3.75,103,Safe
Tashin Tuhin,3rd Year - Sem 1,18,8,12,25,36,3.0,81,Safe
Rakib Hasan,2nd Year - Sem 1,14,5,14,28,31,3.0,78,Safe
Nadia Islam,2nd Year - Sem 2,22,9,18,31,56,4.0,114,Safe
Rakib Hasan,3rd Year - Sem 1,19,8,15,22,34,3.0,79,Safe
Ahad Ali,3rd Year - Sem 2,20,9,15,39,58,4.0,121,Safe
Ahad Ali,3rd Year - Sem 1,20,9,18,40,54,4.0,121,Safe
Nadia Islam,1st Year - Sem 1,14,6,13,24,32,2.75,75,Medium Risk
Rakib Hasan,4th Year - Sem 2,19,5,10,29,31,2.75,75,Medium Risk
Shibay Yadav,3rd Year - Sem 1,18,5,11,30,41,3.25,87,Safe
Tashin Tuhin,2nd Year - Sem 2,22,8,15,30,57,4.0,110,Safe
Ahad Ali,4th Year - Sem 1,24,10,18,33,46,4.0,107,Safe
Shibay Yadav,1st Year - Sem 2,12,1,8,18,23,0.0,50,High Risk
Rakib Hasan,1st Year - Sem 2,18,8,14,30,32,3.0,84,Safe
Shibay Yadav,3rd Year - Sem 1,20,9,15,30,54,4.0,108,Safe
Shibay Yadav,1st Year - Sem 2,20,5,13,20,37,2.75,75,Medium Risk
Tashin Tuhin,4th Year - Sem 1,20,8,20,37,54,4.0,119,Safe
Tashin Tuhin,1st Year - Sem 1,13,5,14,28,38,3.25,85,Safe
Shibay Yadav,1st Year - Sem 2,20,5,12,22,45,3.0,84,Safe
Nadia Islam,1st Year - Sem 1,13,7,15,30,31,3.0,83,Safe
Nadia Islam,1st Year - Sem 1,21,10,19,39,46,4.0,114,Safe
Shibay Yadav,3rd Year - Sem 1,21,9,18,37,45,4.0,109,Safe
Rakib Hasan,3rd Year - Sem 1,24,9,15,33,55,4.0,112,Safe
Nadia Islam,3rd Year - Sem 2,15,8,12,30,30,3.0,80,Safe
Shibay Yadav,4th Year - Sem 2,16,8,12,29,43,3.5,92,Safe
Ahad Ali,3rd Year - Sem 2,18,7,11,27,45,3.25,90,Safe
Nadia Islam,3rd Year - Sem 2,14,5,14,24,43,3.25,86,Safe
Karim Uddin,3rd Year - Sem 2,22,8,20,37,60,4.0,125,Safe
Rakib Hasan,3rd Year - Sem 2,24,8,17,35,60,4.0,120,Safe
Karim Uddin,1st Year - Sem 2,20,8,13,30,35,3.25,86,Safe
Karim Uddin,2nd Year - Sem 2,20,5,10,21,36,2.75,72,Medium Risk
Shibay Yadav,1st Year - Sem 1,7,4,10,7,3,0.0,24,High Risk
Ahad Ali,2nd Year - Sem 1,10,1,8,0,21,0.0,30,High Risk
Shibay Yadav,4th Year - Sem 2,15,8,13,28,41,3.25,90,Safe
Karim Uddin,2nd Year - Sem 1,24,9,16,39,54,4.0,118,Safe
Nadia Islam,2nd Year - Sem 1,20,10,18,31,50,4.0,109,Safe
Nadia Islam,4th Year - Sem 1,10,2,2,11,15,0.0,30,High Risk
Rakib Hasan,4th Year - Sem 2,12,0,5,11,17,0.0,33,High Risk
Shibay Yadav,3rd Year - Sem 1,20,6,10,27,42,3.25,85,Safe
Karim Uddin,4th Year - Sem 1,10,3,6,0,8,0.0,17,High Risk
Shibay Yadav,1st Year - Sem 2,15,8,15,25,33,3.0,81,Safe
Karim Uddin,3rd Year - Sem 1,24,9,20,37,50,4.0,116,Safe
Tashin Tuhin,3rd Year - Sem 2,0,5,1,16,30,2.0,52,High Risk
Shibay Yadav,3rd Year - Sem 1,9,1,7,17,1,0.0,26,High Risk
Ahad Ali,1st Year - Sem 2,22,8,17,40,51,4.0,116,Safe
Karim Uddin,2nd Year - Sem 2,20,9,15,40,49,4.0,113,Safe
Tashin Tuhin,3rd Year - Sem 1,12,1,5,16,19,0.0,41,High Risk
Shibay Yadav,3rd Year - Sem 1,24,8,17,39,46,4.0,110,Safe
Karim Uddin,3rd Year - Sem 2,16,8,13,29,32,3.0,82,Safe
Karim Uddin,1st Year - Sem 1,4,5,2,5,24,0.0,36,High Risk
Rakib Hasan,4th Year - Sem 2,3,3,7,11,13,0.0,34,High Risk
Rakib Hasan,3rd Year - Sem 2,15,6,15,29,38,3.25,88,Safe
Shibay Yadav,2nd Year - Sem 2,23,8,17,38,47,4.0,110,Safe
Tashin Tuhin,2nd Year - Sem 2,19,5,12,30,42,3.25,89,Safe
Ahad Ali,1st Year - Sem 2,21,8,20,31,57,4.0,116,Safe
Tashin Tuhin,4th Year - Sem 1,2,3,7,14,3,0.0,27,High Risk
Tashin Tuhin,1st Year - Sem 1,20,10,20,39,45,4.0,114,Safe
Tashin Tuhin,2nd Year - Sem 2,20,8,11,27,36,3.0,82,Safe
Nadia Islam,3rd Year - Sem 2,4,2,10,19,15,0.0,46,High Risk
Shibay Yadav,2nd Year - Sem 1,17,8,13,26,41,3.25,88,Safe
Shibay Yadav,1st Year - Sem 2,16,7,15,27,44,3.5,93,Safe
Nadia Islam,4th Year - Sem 2,20,9,18,34,60,4.0,121,Safe
Tashin Tuhin,2nd Year - Sem 2,20,8,14,20,30,2.75,72,Medium Risk
Rakib Hasan,3rd Year - Sem 2,23,9,15,40,56,4.0,120,Safe
Ahad Ali,1st Year - Sem 1,20,9,19,34,59,4.0,121,Safe
Nadia Islam,2nd Year - Sem 1,22,10,16,38,59,4.0,123,Safe
Rakib Hasan,1st Year - Sem 1,16,6,12,22,39,3.0,79,Safe
Tashin Tuhin,1st Year - Sem 1,19,7,12,29,34,3.0,82,Safe
Tashin Tuhin,1st Year - Sem 1,15,8,13,27,37,3.25,85,Safe
Nadia Islam,2nd Year - Sem 2,19,5,14,26,30,2.75,75,Medium Risk
Shibay Yadav,3rd Year - Sem 1,24,10,17,33,57,4.0,117,Safe
Ahad Ali,4th Year - Sem 2,20,7,12,30,37,3.25,86,Safe
Karim Uddin,4th Year - Sem 1,7,5,3,20,11,0.0,39,High Risk
Nadia Islam,1st Year - Sem 1,10,4,0,9,16,0.0,29,High Risk
Tashin Tuhin,3rd Year - Sem 2,24,10,17,39,51,4.0,117,Safe
Rakib Hasan,3rd Year - Sem 2,21,9,18,39,57,4.0,123,Safe
Nadia Islam,2nd Year - Sem 1,15,7,14,24,41,3.25,86,Safe
Nadia Islam,2nd Year - Sem 2,22,8,16,39,56,4.0,119,Safe
Tashin Tuhin,2nd Year - Sem 2,17,7,13,28,40,3.25,88,Safe
Shibay Yadav,3rd Year - Sem 1,0,3,5,1,2,0.0,11,High Risk
Shibay Yadav,3rd Year - Sem 2,16,7,13,28,45,3.5,93,Safe
Nadia Islam,4th Year - Sem 1,23,10,16,35,60,4.0,121,Safe
Tashin Tuhin,4th Year - Sem 2,19,8,11,29,43,3.5,91,Safe
Karim Uddin,3rd Year - Sem 2,21,9,17,30,55,4.0,111,Safe
Tashin Tuhin,1st Year - Sem 1,22,8,19,38,57,4.0,122,Safe
Tashin Tuhin,3rd Year - Sem 2,21,10,15,33,46,4.0,104,Safe
Tashin Tuhin,1st Year - Sem 1,16,8,15,30,39,3.5,92,Safe
Karim Uddin,2nd Year - Sem 2,21,8,18,33,52,4.0,111,Safe
Nadia Islam,3rd Year - Sem 1,22,9,19,37,58,4.0,123,Safe
Rakib Hasan,3rd Year - Sem 1,16,8,14,20,33,2.75,75,Medium Risk
Tashin Tuhin,2nd Year - Sem 2,16,5,15,23,36,3.0,79,Safe
Ahad Ali,4th Year - Sem 2,13,8,14,30,35,3.25,87,Safe
Tashin Tuhin,3rd Year - Sem 2,13,7,11,24,33,2.75,75,Medium Risk
Tashin Tuhin,2nd Year - Sem 2,20,8,15,31,55,4.0,109,Safe
Karim Uddin,2nd Year - Sem 1,10,0,0,1,8,0.0,9,High Risk
Shibay Yadav,1st Year - Sem 1,17,6,15,25,31,2.75,77,Medium Risk
Shibay Yadav,2nd Year - Sem 2,14,7,13,29,32,3.0,81,Safe
Nadia Islam,4th Year - Sem 2,24,10,19,31,57,4.0,117,Safe
Tashin Tuhin,1st Year - Sem 2,14,6,14,24,38,3.0,82,Safe
Shibay Yadav,3rd Year - Sem 2,17,6,15,29,32,3.0,82,Safe
Ahad Ali,1st Year - Sem 2,18,7,10,26,38,3.0,81,Safe
Shibay Yadav,1st Year - Sem 2,13,8,13,22,39,3.0,82,Safe
Karim Uddin,1st Year - Sem 2,19,8,12,27,35,3.0,82,Safe
Shibay Yadav,3rd Year - Sem 1,14,7,14,20,39,3.0,80,Safe
Karim Uddin,2nd Year - Sem 2,14,5,14,29,39,3.25,87,Safe
Rakib Hasan,1st Year - Sem 1,21,8,19,35,54,4.0,116,Safe
Shibay Yadav,1st Year - Sem 2,0,0,2,7,25,0.0,34,High Risk
Karim Uddin,4th Year - Sem 2,18,6,12,24,34,2.75,76,Medium Risk
Shibay Yadav,1st Year - Sem 2,24,8,17,33,56,4.0,114,Safe
Karim Uddin,2nd Year - Sem 1,13,6,14,28,44,3.5,92,Safe
Nadia Islam,1st Year - Sem 2,23,9,17,37,56,4.0,119,Safe
Shibay Yadav,3rd Year - Sem 1,12,5,3,5,22,0.0,35,High Risk
Karim Uddin,2nd Year - Sem 1,19,6,12,28,37,3.0,83,Safe
Shibay Yadav,3rd Year - Sem 2,24,9,15,33,45,3.75,102,Safe
Ahad Ali,1st Year - Sem 1,20,5,13,26,39,3.0,83,Safe
Ahad Ali,4th Year - Sem 2,18,8,10,22,30,2.5,70,Medium Risk
Rakib Hasan,2nd Year - Sem 2,6,2,1,9,28,0.0,40,High Risk
Nadia Islam,4th Year - Sem 2,12,8,14,20,38,3.0,80,Safe
Karim Uddin,1st Year - Sem 1,23,8,17,36,53,4.0,114,Safe
Shibay Yadav,3rd Year - Sem 1,16,5,15,30,41,3.5,91,Safe
Rakib Hasan,2nd Year - Sem 1,1,0,10,15,10,0.0,35,High Risk
Karim Uddin,4th Year - Sem 2,4,2,8,20,24,2.0,54,High Risk
Ahad Ali,2nd Year - Sem 1,0,2,8,7,13,0.0,30,High Risk
Shibay Yadav,2nd Year - Sem 1,23,10,20,31,45,4.0,106,Safe
Tashin Tuhin,2nd Year - Sem 2,22,8,19,39,48,4.0,114,Safe
